,gene,pLI,oe_lof,oe_lof_lower,oe_lof_upper
220,MCF2L2,1.1565000000000001e-24,0.71087,0.563,0.904
221,KIF5C,1.0,0.037254,0.014,0.117
222,RPGRIP1L,4.083e-31,0.76685,0.619,0.956
223,MID1,0.97967,0.09647599999999999,0.038,0.304
224,C10ORF2,[],[],[],[]
225,HUWE1,1.0,0.026088,0.012,0.06
226,C3ORF58,[],[],[],[]
227,SNAPC1,2.3628e-16,1.079,0.775,1.527
228,DYNC1H1,1.0,0.048236,0.029,0.08
229,C5ORF30,[],[],[],[]
230,LGR6,2.9439e-06,0.42053,0.284,0.639
231,ANKRD11,1.0,0.046779,0.022,0.107
232,URB1,1.2230999999999999e-17,0.45883,0.361,0.587
233,H3F3B,0.80682,0.0,0.0,0.551
234,CHST2,0.018039,0.38574,0.201,0.811
235,KIAA1109,3.2559e-21,0.34174,0.286,0.41
236,PLXNB3,0.23163000000000003,0.23354,0.151,0.371
237,SAP30BP,0.00011365,0.46758,0.287,0.793
238,GUCY1A3,3.1253e-08,0.56013,0.382,0.84
239,MKS1,3.3768e-16,0.76431,0.568,1.042
240,ACO2,0.20790999999999998,0.23899,0.143,0.417
241,SCN11A,6.9339e-26,0.65875,0.527,0.828
242,DHCR7,3.949e-13,0.9283100000000001,0.652,1.349
243,UNC13D,1.091e-18,0.59397,0.46,0.773
244,TFE3,0.97985,0.061175,0.021,0.29
245,RTTN,8.9747e-34,0.60847,0.503,0.739
246,DOCK10,2.5524e-06,0.29051,0.22,0.387
247,MEGF9,0.9881,0.05625499999999999,0.019,0.267
248,ZMIZ1,0.9993700000000001,0.13435,0.075,0.252
249,PDHX,9.7242e-05,0.43377,0.272,0.718
250,MECR,2.2332e-05,0.51227,0.321,0.848
251,CYC1,0.13875,0.27936,0.137,0.639
252,C5ORF42,[],[],[],[]
253,DOK7,0.00010263,0.53515,0.322,0.934
254,MFAP4,0.11416,0.29141999999999996,0.143,0.667
255,GNB1,0.9992,0.0,0.0,0.145
256,ND5,[],[],[],[]
